tipoDeCurso,plan,nombre,nombrePublico,nivelEducativo,tipo,credEd,hsSem,hsTot,cert
HORAS EXTRACURRICULARES            ,2001,ACTIVIDADES MUSICALES              ,,DOC. DIR. EXTRACURRICULAR,Anual,0,0,0,
HORAS EXTRACURRICULARES            ,2001,DES. INTEGRAL DEL ALUMNO           ,,DOC. DIR. EXTRACURRICULAR,Anual,0,0,0,
HORAS EXTRACURRICULARES            ,2001,EDUCACION FISICA                   ,,DOC. DIR. EXTRACURRICULAR,Indefinido,0,0,0,
HORAS EXTRACURRICULARES            ,2005,IDIOMAS                            ,,DOC. DIR. EXTRACURRICULAR,Anual,0,0,0,
HORAS EXTRACURRICULARES            ,2021,EXTENSION CENTRO MARIA ESPINOLA    ,,DOC. DIR. EXTRACURRICULAR,Indefinido,0,0,0,
CICLO BÁSICO TECNOLÓGICO           ,2001,CBT INIC. A LA TECNOLOGIA RURAL    ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,TECNICAS CREATIVAS                 ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ARTES GRAFICAS                     ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ARTES Y ARTESANIAS                 ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,AUDIOVISUAL                        ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ALIMENTACION                       ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ESTETICA CAPILAR                   ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,MUEBLES POR DISEÑO                 ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,CONSTRUCCION INTEGRADA             ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,DEPORTE Y RECREACION               ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ELECTROTECNIA Y ENERG.ALTERNATIVAS ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,MECANICA GENERAL                   ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,MECANICA AUTOMOTRIZ                ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,MUSICA                             ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,ROBOTICA                           ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,PRODUCCION VEGETAL                 ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,INDUMENTARIA                       ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,PRODUCCION AGROPECUARIA SUSTENTABLE,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,2021,PROGRAMACION Y VIDEOJUEGOS         ,,EDUCACION MEDIA BASICA   ,Anual,0,0,0,
FORMACIÓN PROFESIONAL BÁSICA       ,1962,VIOLERIA                           ,FPB - VIOLERÍA,FORMACIÓN PROFESIONAL    ,Anual,0,0,1664,VIOLERÍA
CONVENIO CON FACULTAD DE INGENIERÍA,1992,MECANICA GENERAL                   , CONVENIO CON FACULTAD DE INGENIERIA - MECÁNICA GENERAL,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,
ARTICULACIÓN                       ,2001,ARTICULACION TECNOLOGO QUIMICO     , ARTICULACIÓN - TECNÓLOGO QUÍMICO,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,
CAPACITACIÓN TÉCNICA               ,1994,CENTRO TECNICO C.N.C.              ,,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,
TECNÓLOGO                          ,1992,TECNOLOGO MECANICO                 ,TECNÓLOGO MECÁNICO ,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,TECNÓLOGO MECÁNICO
TECNÓLOGO                          ,2004,TECNOLOGO QUIMICO                  ,TECNÓLOGO - QUÍMICO ,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO QUÍMICO
TECNÓLOGO                          ,2007,TECNOLOGO EN INFORMATICA           ,TECNÓLOGO - INFORMÁTICA ,EDUC. SUPERIOR TERCIARIA ,Semestral,0,0,0,TECNÓLOGO EN INFORMÁTICA
TECNÓLOGO                          ,2010,TECNOLOGO CARNICO                  ,TECNÓLOGO - CÁRNICO ,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO CÁRNICO
TECNÓLOGO                          ,2011,TECNOLOGO MADERA                   ,TECNÓLOGO - MADERA ,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO EN MADERA
TECNÓLOGO                          ,2015,DISEÑO ITINERARIOS TURÍSTICOS SOSTENIBLE ,TECNÓLOGO  - DISEÑO DE ITINERARIOS TURÍSTICOS SOSTENIBLES,EDUC. SUPERIOR TERCIARIA ,Semestral,0,0,0,"GUÍA TURÍSTICO, TÉCNICO ITINERARIOS TURÍSTICOS NACIONALES Y REGIONALES, TECNOLÓGO EN DISEÑO DE ITINERARIOS TURÍSTICOS SOSTENIBLES DE NATURALEZA"
TECNÓLOGO                          ,2015,DISEÑO ITINERARIOS TURÍSTICOS CULTURALES SOSTENIBLES      ,TECNOLOGO - DISEÑO DE ITINERARIOS TURÍSTICOS CULTURALES SOSTENIBLES ,EDUC. SUPERIOR TERCIARIA ,Semestral,0,0,0,TECNÓLOGO DISEÑO ITINERARIOS TURÍSTICOS CULTURALES SOSTENIBLES
TECNÓLOGO                          ,2015,MANEJO SISTEMAS PRODUCCION LECHERA ,TECNÓLOGO - MANEJO SISTEMAS PRODUCCIÓN LECHERA,EDUC. SUPERIOR TERCIARIA ,Semestral,0,0,2944,TECNÓLOGO EN MANEJO DE SISTEMAS DE PRODUCCIÓN LECHERA
TECNÓLOGO                          ,2016,GESTION EN DEPORTE Y RECREACION    ,TECNÓLOGO - GESTIÓN DE DEPORTE Y RECREACIÓN,EDUC. SUPERIOR TERCIARIA ,Semestral,0,0,0,TECNÓLOGO EN GESTIÓN DEPORTIVA Y RECREACIÓN
TECNÓLOGO                          ,2016,OPTICO                             ,TECNÓLOGO - ÓPTICO ,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO EN ÓPTICA OFTÁLMICA
TECNÓLOGO                          ,2016,INDUSTRIAL MECANICO                ,,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,
TECNÓLOGO                          ,2018,VITIVINICULTURA                    ,TECNÓLOGO - VITIVINICULTURA ,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO EN VITIVINICULTURA
TECNÓLOGO                          ,2018,MECATRONICA INDUSTRIAL             ,TECNÓLOGO - MECATRÓNICA INDUSTRIAL,EDUC. SUPERIOR TERCIARIA ,Modular,0,0,0,TECNÓLOGO EN MECATRÓNICA INDUSTRIAL
TECNÓLOGO                          ,2021,BIOTECNOLOGIA                      ,,EDUC. SUPERIOR TERCIARIA ,Indefinido,0,0,0,
TECNÓLOGO                          ,2022,METEOROLOGIA                       ,,EDUC. SUPERIOR TERCIARIA ,Anual,0,0,0,
TECNÓLOGO                          ,2022,PRODUCCION EQUINA                  ,,EDUC. SUPERIOR TERCIARIA ,Indefinido,0,0,0,
